Time,X,Y
20.0303,0.127912,9.73064
20.0303,24.4019,14.7315
20.0303,18.0957,19.7477
20.0303,2.2762,19.7206
20.0303,30.2936,15.3257
20.0303,16.9573,8.76853
20.0303,19.5829,17.3088
20.0303,0.277242,6.4981
20.0303,18.2287,29.6457
20.0303,11.4612,4.13017
20.0303,30.8262,1.75537
20.0303,11.6121,17.7265
20.0303,2.22042,21.5162
20.0303,1.52646,29.8718
20.0303,35.972,10.2408
20.0303,33.6757,13.0781
20.0303,29.3824,18.2427
20.0303,11.5362,20.8684
21.0173,17.8539,17.636
21.0173,33.7124,13.034
21.0173,22.2904,15.8568
21.0173,17.5555,20.5278
21.0173,29.3395,18.2831
21.0173,6.26981,13.4565
21.0173,6.35886,15.9535
21.0173,24.9157,11.8142
21.0173,26.142,3.02416
21.0173,11.5612,19.6557
21.0173,3.66108,22.8134
21.0173,22.3144,15.7516
21.0173,23.2163,12.3277
21.0173,0.90531,5.04818
21.0173,5.18522,11.5259
21.0173,34.4633,13.9019
21.0173,31.8791,17.2039
21.0173,4.30127,23.641
21.0173,23.1125,12.3917
21.0173,20.7611,12.4613
21.0173,16.548,3.21364
21.0173,12.983,30.0339
21.0173,19.6028,29.7901
21.0173,23.6645,21.0339
22.0205,25.2608,5.59926
22.0205,27.8137,0.172298
22.0205,16.139,21.8074
22.0205,3.70821,19.6409
22.0205,0.654849,7.01106
22.0205,34.1983,12.9333
22.0205,0.948356,16.0959
22.0205,24.5935,12.0575
22.0205,31.0942,20.002
22.0205,36.7898,12.7602
22.0205,36.6584,13.9418
22.0205,15.916,4.6754
23.0086,15.1358,26.6999
23.0086,14.4125,3.8858
23.0086,37.0012,4.03301
23.0086,24.7613,18.0104
23.0086,36.4405,5.86525
24.0199,34.7495,13.2132
24.0199,34.9988,4.93035
24.0199,37.0257,31.495
24.0199,22.8201,18.32
24.0199,11.627,17.367
24.0199,35.5728,6.54721
24.0199,32.4866,9.9458
24.0199,21.1663,17.513
24.0199,28.5569,21.754
24.0199,4.46454,22.856
24.0199,37.034,2.85878
24.0199,30.9141,14.0561
24.0199,2.66321,0.713052
24.0199,7.81639,1.28251
25.0197,2.67621,0.769114
25.0197,32.3938,9.99627
25.0197,33.4424,14.4596
25.0197,18.5057,14.1974
25.0197,34.4385,4.87309
25.0197,7.13387,18.8536
25.0197,33.4381,4.46359
25.0197,20.3015,25.1298
25.0197,11.7182,11.8742
25.0197,0.683398,0.497864
25.0197,19.7867,16.9905
25.0197,3.76046,2.1876
25.0197,7.58563,21.0538
26.0269,13.6044,17.2673
26.0269,36.2738,13.6946
26.0269,2.43236,11.0075
26.0269,2.12986,24.1659
26.0269,2.46624,4.10001
26.0269,9.80887,21.8544
26.0269,14.894,17.9214
27.0259,18.0321,12.6061
27.0259,12.0965,5.99579
27.0259,34.5223,10.4023
27.0259,20.4936,13.5956
27.0259,24.472,5.63033
27.0259,18.0094,21.9713
27.0259,27.5268,19.1273
27.0259,0.517852,11.6658
28.0269,32.4403,12.1459
29.0165,37.0645,3.51138
29.0165,18.1978,0.844527
29.0165,36.1527,21.4154
29.0165,0.364867,2.6768
30.0289,17.3179,10.751
32.042,11.3559,19.3814
41.0176,20.8823,11.6634
41.0176,34.5636,19.7388
42.0434,10.5661,20.0314
52.0425,0.833126,8.43219
53.0334,34.6991,9.74381
56.0038,22.4089,8.55383
56.0038,1.83195,18.4738
57.0367,22.6671,18.1019
57.0367,15.0274,9.23443
66.0332,32.6488,30.5904
68.0093,21.1191,9.18098
68.0093,17.3653,6.52101
69.0078,25.8891,19.9949
